Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[Fire] AllocatedEvent,Firing event 'MyTransporter3[1].Allocated'.
0,MyTransporter3[1],MyTransporter3[1],1.OnCapacityAllocated,[End],Process 'MyTransporter3[1].OnCapacityAllocated' execution ended.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Seize] Vehicle,Object 'MyTransporter3[1]' completed seize of '1' resource(s) of resource type '[ParentObject] MyTransporter3[1]'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[SetNode] ToFirstDestination,Destination node of entity 'MyTransporter3[1]' set to value 'MyCoopNode6'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '0'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '0'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyTransporter3[1].HomeNode' the value 'Home'. Previous value was 'Nothing'.
0,MyTransporter3[1],MyTransporter3[1],0.OnCreated,[End],Process 'MyTransporter3[1].OnCreated' execution ended.
0,MyPicker1[1],MyPicker1[1],0.OnRunInitialized,[Begin],Process 'MyPicker1[1].OnRunInitialized' execution started.
0,MyPicker1[1],MyPicker1[1],0.OnRunInitialized,[Park] AtInitialNode,Entity 'MyPicker1[1]' transferring from '[FreeSpace] Model1' into station 'Home.ParkingStation'.
0,MyPicker1[1],Home,1.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyPicker1[1],Home,1.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyPicker1[1]' ending transfer into station 'Home.ParkingStation'.
0,MyPicker1[1],Home,1.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyTransporter1[1],MyTransporter1[1],1.OnRunInitialized,[Begin],Process 'MyTransporter1[1].OnRunInitialized' execution started.
0,MyTransporter1[1],MyTransporter1[1],1.OnRunInitialized,[Park] AtInitialNode,Entity 'MyTransporter1[1]' transferring from '[FreeSpace] Model1' into station 'Home.ParkingStation'.
0,MyTransporter1[1],Home,2.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyTransporter1[1],Home,2.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyTransporter1[1]' ending transfer into station 'Home.ParkingStation'.
